,Country,Year,Happiness Rank,Happiness Score
152,Afghanistan,2015,153,3.575
153,Afghanistan,2016,154,3.36
108,Albania,2016,109,4.655
94,Albania,2015,95,4.959
37,Algeria,2016,38,6.355
67,Algeria,2015,68,5.605
140,Angola,2016,141,3.866
136,Angola,2015,137,4.033
29,Argentina,2015,30,6.574
25,Argentina,2016,26,6.65
120,Armenia,2016,121,4.36
126,Armenia,2015,127,4.35
9,Australia,2015,10,7.284
8,Australia,2016,9,7.313
12,Austria,2015,13,7.2
11,Austria,2016,12,7.119
80,Azerbaijan,2016,81,5.291
79,Azerbaijan,2015,80,5.212000000000001
48,Bahrain,2015,49,5.96
41,Bahrain,2016,42,6.218
108,Bangladesh,2015,109,4.694
109,Bangladesh,2016,110,4.643
60,Belarus,2016,61,5.8020000000000005
58,Belarus,2015,59,5.813
18,Belgium,2015,19,6.937
17,Belgium,2016,18,6.928999999999999
51,Belize,2016,52,5.956
154,Benin,2015,155,3.34
152,Benin,2016,153,3.484
78,Bhutan,2015,79,5.252999999999999
83,Bhutan,2016,84,5.196000000000001
58,Bolivia,2016,59,5.822
50,Bolivia,2015,51,5.89
86,Bosnia and Herzegovina,2016,87,5.162999999999999
95,Bosnia and Herzegovina,2015,96,4.949
127,Botswana,2015,128,4.332
136,Botswana,2016,137,3.9739999999999998
16,Brazil,2016,17,6.952000000000001
15,Brazil,2015,16,6.983
133,Bulgaria,2015,134,4.218
128,Bulgaria,2016,129,4.217
144,Burkina Faso,2016,145,3.739
151,Burkina Faso,2015,152,3.5869999999999997
156,Burundi,2016,157,2.905
156,Burundi,2015,157,2.905
144,Cambodia,2015,145,3.819
139,Cambodia,2016,140,3.907
132,Cameroon,2015,133,4.252
113,Cameroon,2016,114,4.513
5,Canada,2016,6,7.404
4,Canada,2015,5,7.4270000000000005
147,Central African Republic,2015,148,3.678
148,Chad,2015,149,3.667
143,Chad,2016,144,3.763
26,Chile,2015,27,6.67
23,Chile,2016,24,6.705
