,Country,Year,Happiness Rank,Happiness Score
0,Switzerland,2015,1,7.587000000000001
1,Iceland,2015,2,7.561
2,Denmark,2015,3,7.527
3,Norway,2015,4,7.522
4,Canada,2015,5,7.4270000000000005
5,Finland,2015,6,7.406000000000001
6,Netherlands,2015,7,7.377999999999999
7,Sweden,2015,8,7.364
8,New Zealand,2015,9,7.2860000000000005
9,Australia,2015,10,7.284
10,Israel,2015,11,7.278
11,Costa Rica,2015,12,7.226
12,Austria,2015,13,7.2
13,Mexico,2015,14,7.187
14,United States,2015,15,7.119
15,Brazil,2015,16,6.983
16,Luxembourg,2015,17,6.946000000000001
17,Ireland,2015,18,6.94
18,Belgium,2015,19,6.937
19,United Arab Emirates,2015,20,6.901
20,United Kingdom,2015,21,6.867000000000001
21,Oman,2015,22,6.853
22,Venezuela,2015,23,6.81
23,Singapore,2015,24,6.797999999999999
24,Panama,2015,25,6.7860000000000005
25,Germany,2015,26,6.75
26,Chile,2015,27,6.67
27,Qatar,2015,28,6.611000000000001
28,France,2015,29,6.575
29,Argentina,2015,30,6.574
30,Czech Republic,2015,31,6.505
31,Uruguay,2015,32,6.485
32,Colombia,2015,33,6.477
33,Thailand,2015,34,6.455
34,Saudi Arabia,2015,35,6.4110000000000005
35,Spain,2015,36,6.329
36,Malta,2015,37,6.3020000000000005
37,Taiwan,2015,38,6.297999999999999
38,Kuwait,2015,39,6.295
39,Suriname,2015,40,6.269
40,Trinidad and Tobago,2015,41,6.167999999999999
41,El Salvador,2015,42,6.13
42,Guatemala,2015,43,6.122999999999999
43,Uzbekistan,2015,44,6.002999999999999
44,Slovakia,2015,45,5.995
45,Japan,2015,46,5.987
46,South Korea,2015,47,5.984
47,Ecuador,2015,48,5.975
48,Bahrain,2015,49,5.96
49,Italy,2015,50,5.9479999999999995
50,Bolivia,2015,51,5.89
51,Moldova,2015,52,5.888999999999999
52,Paraguay,2015,53,5.877999999999999
53,Kazakhstan,2015,54,5.855
54,Slovenia,2015,55,5.848
55,Lithuania,2015,56,5.832999999999999
56,Nicaragua,2015,57,5.827999999999999
57,Peru,2015,58,5.824
58,Belarus,2015,59,5.813
59,Poland,2015,60,5.791
60,Malaysia,2015,61,5.77
61,Croatia,2015,62,5.7589999999999995
62,Libya,2015,63,5.754
63,Russia,2015,64,5.716
64,Jamaica,2015,65,5.709
65,North Cyprus,2015,66,5.695
66,Cyprus,2015,67,5.689
67,Algeria,2015,68,5.605
68,Kosovo,2015,69,5.5889999999999995
69,Turkmenistan,2015,70,5.547999999999999
70,Mauritius,2015,71,5.477
71,Hong Kong,2015,72,5.474
72,Estonia,2015,73,5.428999999999999
73,Indonesia,2015,74,5.399
74,Vietnam,2015,75,5.36
75,Turkey,2015,76,5.332000000000001
76,Kyrgyzstan,2015,77,5.2860000000000005
77,Nigeria,2015,78,5.268
78,Bhutan,2015,79,5.252999999999999
79,Azerbaijan,2015,80,5.212000000000001
80,Pakistan,2015,81,5.194
81,Jordan,2015,82,5.192
82,Montenegro,2015,82,5.192
83,China,2015,84,5.14
84,Zambia,2015,85,5.129
85,Romania,2015,86,5.124
86,Serbia,2015,87,5.122999999999999
87,Portugal,2015,88,5.102
88,Latvia,2015,89,5.098
89,Philippines,2015,90,5.073
90,Somaliland region,2015,91,5.0569999999999995
91,Morocco,2015,92,5.013
92,Macedonia,2015,93,5.007
93,Mozambique,2015,94,4.971
94,Albania,2015,95,4.959
95,Bosnia and Herzegovina,2015,96,4.949
96,Lesotho,2015,97,4.898
97,Dominican Republic,2015,98,4.885
98,Laos,2015,99,4.876
99,Mongolia,2015,100,4.874
100,Swaziland,2015,101,4.867
101,Greece,2015,102,4.857
102,Lebanon,2015,103,4.8389999999999995
103,Hungary,2015,104,4.8
104,Honduras,2015,105,4.788
105,Tajikistan,2015,106,4.7860000000000005
106,Tunisia,2015,107,4.739
107,Palestinian Territories,2015,108,4.715
108,Bangladesh,2015,109,4.694
109,Iran,2015,110,4.686
110,Ukraine,2015,111,4.681
111,Iraq,2015,112,4.677
112,South Africa,2015,113,4.6419999999999995
113,Ghana,2015,114,4.633
114,Zimbabwe,2015,115,4.61
115,Liberia,2015,116,4.571000000000001
116,India,2015,117,4.565
117,Sudan,2015,118,4.55
118,Haiti,2015,119,4.518
119,Congo (Kinshasa),2015,120,4.5169999999999995
120,Nepal,2015,121,4.513999999999999
121,Ethiopia,2015,122,4.512
122,Sierra Leone,2015,123,4.507
123,Mauritania,2015,124,4.436
124,Kenya,2015,125,4.419
125,Djibouti,2015,126,4.369
126,Armenia,2015,127,4.35
127,Botswana,2015,128,4.332
128,Myanmar,2015,129,4.3069999999999995
129,Georgia,2015,130,4.297
130,Malawi,2015,131,4.292
131,Sri Lanka,2015,132,4.271
132,Cameroon,2015,133,4.252
133,Bulgaria,2015,134,4.218
134,Egypt,2015,135,4.194
135,Yemen,2015,136,4.077
136,Angola,2015,137,4.033
137,Mali,2015,138,3.995
138,Congo (Brazzaville),2015,139,3.989
139,Comoros,2015,140,3.9560000000000004
140,Uganda,2015,141,3.931
141,Senegal,2015,142,3.904
142,Gabon,2015,143,3.8960000000000004
143,Niger,2015,144,3.845
144,Cambodia,2015,145,3.819
145,Tanzania,2015,146,3.781
146,Madagascar,2015,147,3.681
147,Central African Republic,2015,148,3.678
148,Chad,2015,149,3.667
149,Guinea,2015,150,3.656
150,Ivory Coast,2015,151,3.655
151,Burkina Faso,2015,152,3.5869999999999997
152,Afghanistan,2015,153,3.575
153,Rwanda,2015,154,3.465
154,Benin,2015,155,3.34
155,Syria,2015,156,3.0060000000000002
156,Burundi,2015,157,2.905
157,Togo,2015,158,2.839
