,Country,Year,Happiness Rank,Happiness Score
0,Norway,2017,1,7.537000179290769
1,Denmark,2017,2,7.52199983596802
2,Iceland,2017,3,7.50400018692017
3,Switzerland,2017,4,7.49399995803833
4,Finland,2017,5,7.468999862670901
5,Netherlands,2017,6,7.3769998550415
6,Canada,2017,7,7.31599998474121
7,New Zealand,2017,8,7.31400012969971
8,Sweden,2017,9,7.28399991989136
9,Australia,2017,10,7.28399991989136
10,Israel,2017,11,7.212999820709231
11,Costa Rica,2017,12,7.0789999961853
12,Austria,2017,13,7.00600004196167
13,United States,2017,14,6.993000030517581
14,Ireland,2017,15,6.9770002365112305
15,Germany,2017,16,6.9510002136230495
16,Belgium,2017,17,6.89099979400635
17,Luxembourg,2017,18,6.86299991607666
18,United Kingdom,2017,19,6.71400022506714
19,Chile,2017,20,6.65199995040894
20,United Arab Emirates,2017,21,6.6479997634887695
21,Brazil,2017,22,6.6350002288818395
22,Czech Republic,2017,23,6.60900020599365
23,Argentina,2017,24,6.59899997711182
24,Mexico,2017,25,6.57800006866455
25,Singapore,2017,26,6.57200002670288
26,Malta,2017,27,6.52699995040894
27,Uruguay,2017,28,6.4539999961853
28,Guatemala,2017,29,6.4539999961853
29,Panama,2017,30,6.4520001411438
30,France,2017,31,6.44199991226196
31,Thailand,2017,32,6.4239997863769505
32,Taiwan Province of China,2017,33,6.42199993133545
33,Spain,2017,34,6.40299987792969
34,Qatar,2017,35,6.375
35,Colombia,2017,36,6.35699987411499
36,Saudi Arabia,2017,37,6.343999862670901
37,Trinidad and Tobago,2017,38,6.1680002212524405
38,Kuwait,2017,39,6.10500001907349
39,Slovakia,2017,40,6.09800004959106
40,Bahrain,2017,41,6.08699989318848
41,Malaysia,2017,42,6.08400011062622
42,Nicaragua,2017,43,6.07100009918213
43,Ecuador,2017,44,6.00799989700317
44,El Salvador,2017,45,6.002999782562259
45,Poland,2017,46,5.97300004959106
46,Uzbekistan,2017,47,5.97100019454956
47,Italy,2017,48,5.96400022506714
48,Russia,2017,49,5.962999820709231
49,Belize,2017,50,5.955999851226809
50,Japan,2017,51,5.92000007629395
51,Lithuania,2017,52,5.90199995040894
52,Algeria,2017,53,5.872000217437741
53,Latvia,2017,54,5.849999904632571
54,South Korea,2017,55,5.837999820709231
55,Moldova,2017,56,5.837999820709231
56,Romania,2017,57,5.824999809265139
57,Bolivia,2017,58,5.82299995422363
58,Turkmenistan,2017,59,5.82200002670288
59,Kazakhstan,2017,60,5.8189997673034695
60,North Cyprus,2017,61,5.80999994277954
61,Slovenia,2017,62,5.75799989700317
62,Peru,2017,63,5.71500015258789
63,Mauritius,2017,64,5.62900018692017
64,Cyprus,2017,65,5.62099981307983
65,Estonia,2017,66,5.61100006103516
66,Belarus,2017,67,5.5689997673034695
67,Libya,2017,68,5.525000095367429
68,Turkey,2017,69,5.5
69,Paraguay,2017,70,5.493000030517581
70,"Hong Kong S.A.R., China",2017,71,5.47200012207031
71,Philippines,2017,72,5.42999982833862
72,Serbia,2017,73,5.39499998092651
73,Jordan,2017,74,5.33599996566772
74,Hungary,2017,75,5.32399988174438
75,Jamaica,2017,76,5.31099987030029
76,Croatia,2017,77,5.2930002212524405
77,Kosovo,2017,78,5.27899980545044
