,Country,Year,Happiness Rank,Happiness Score
152,Afghanistan,2015,153,3.575
144,Afghanistan,2018,145,3.6319999999999997
153,Afghanistan,2016,154,3.36
140,Afghanistan,2017,141,3.7939999103546103
111,Albania,2018,112,4.586
108,Albania,2017,109,4.64400005340576
108,Albania,2016,109,4.655
94,Albania,2015,95,4.959
83,Algeria,2018,84,5.295
37,Algeria,2016,38,6.355
67,Algeria,2015,68,5.605
52,Algeria,2017,53,5.872000217437741
140,Angola,2016,141,3.866
139,Angola,2017,140,3.79500007629395
136,Angola,2015,137,4.033
141,Angola,2018,142,3.795
28,Argentina,2018,29,6.388
23,Argentina,2017,24,6.59899997711182
29,Argentina,2015,30,6.574
25,Argentina,2016,26,6.65
126,Armenia,2015,127,4.35
120,Armenia,2016,121,4.36
120,Armenia,2017,121,4.37599992752075
128,Armenia,2018,129,4.321000000000001
9,Australia,2018,10,7.272
9,Australia,2015,10,7.284
8,Australia,2016,9,7.313
9,Australia,2017,10,7.28399991989136
11,Austria,2018,12,7.138999999999999
12,Austria,2017,13,7.00600004196167
12,Austria,2015,13,7.2
11,Austria,2016,12,7.119
79,Azerbaijan,2015,80,5.212000000000001
80,Azerbaijan,2016,81,5.291
86,Azerbaijan,2018,87,5.2010000000000005
84,Azerbaijan,2017,85,5.234000205993651
40,Bahrain,2017,41,6.08699989318848
41,Bahrain,2016,42,6.218
48,Bahrain,2015,49,5.96
42,Bahrain,2018,43,6.105
114,Bangladesh,2018,115,4.5
109,Bangladesh,2016,110,4.643
108,Bangladesh,2015,109,4.694
109,Bangladesh,2017,110,4.60799980163574
66,Belarus,2017,67,5.5689997673034695
60,Belarus,2016,61,5.8020000000000005
58,Belarus,2015,59,5.813
72,Belarus,2018,73,5.483
18,Belgium,2015,19,6.937
16,Belgium,2017,17,6.89099979400635
15,Belgium,2018,16,6.9270000000000005
17,Belgium,2016,18,6.928999999999999
49,Belize,2017,50,5.955999851226809
51,Belize,2016,52,5.956
48,Belize,2018,49,5.956
142,Benin,2017,143,3.65700006484985
152,Benin,2016,153,3.484
154,Benin,2015,155,3.34
135,Benin,2018,136,4.141
83,Bhutan,2016,84,5.196000000000001
96,Bhutan,2017,97,5.01100015640259
78,Bhutan,2015,79,5.252999999999999
96,Bhutan,2018,97,5.082
57,Bolivia,2017,58,5.82299995422363
58,Bolivia,2016,59,5.822
50,Bolivia,2015,51,5.89
61,Bolivia,2018,62,5.752000000000001
92,Bosnia and Herzegovina,2018,93,5.129
89,Bosnia and Herzegovina,2017,90,5.18200016021729
95,Bosnia and Herzegovina,2015,96,4.949
86,Bosnia and Herzegovina,2016,87,5.162999999999999
145,Botswana,2018,146,3.59
136,Botswana,2016,137,3.9739999999999998
127,Botswana,2015,128,4.332
141,Botswana,2017,142,3.7660000324249303
21,Brazil,2017,22,6.6350002288818395
15,Brazil,2015,16,6.983
27,Brazil,2018,28,6.419
16,Brazil,2016,17,6.952000000000001
133,Bulgaria,2015,134,4.218
128,Bulgaria,2016,129,4.217
104,Bulgaria,2017,105,4.71400022506714
99,Bulgaria,2018,100,4.933
120,Burkina Faso,2018,121,4.4239999999999995
144,Burkina Faso,2016,145,3.739
151,Burkina Faso,2015,152,3.5869999999999997
133,Burkina Faso,2017,134,4.03200006484985
156,Burundi,2015,157,2.905
153,Burundi,2017,154,2.90499997138977
156,Burundi,2016,157,2.905
155,Burundi,2018,156,2.905
128,Cambodia,2017,129,4.1680002212524405
144,Cambodia,2015,145,3.819
139,Cambodia,2016,140,3.907
119,Cambodia,2018,120,4.433
98,Cameroon,2018,99,4.975
113,Cameroon,2016,114,4.513
132,Cameroon,2015,133,4.252
106,Cameroon,2017,107,4.69500017166138
6,Canada,2017,7,7.31599998474121
4,Canada,2015,5,7.4270000000000005
5,Canada,2016,6,7.404
6,Canada,2018,7,7.327999999999999
147,Central African Republic,2015,148,3.678
154,Central African Republic,2017,155,2.69300007820129
154,Central African Republic,2018,155,3.083
148,Chad,2015,149,3.667
136,Chad,2017,137,3.9360001087188703
143,Chad,2016,144,3.763
130,Chad,2018,131,4.301
26,Chile,2015,27,6.67
19,Chile,2017,20,6.65199995040894
23,Chile,2016,24,6.705
24,Chile,2018,25,6.476
78,China,2017,79,5.2729997634887695
82,China,2016,83,5.245
83,China,2015,84,5.14
85,China,2018,86,5.246
35,Colombia,2017,36,6.35699987411499
32,Colombia,2015,33,6.477
30,Colombia,2016,31,6.481
36,Colombia,2018,37,6.26
137,Comoros,2016,138,3.9560000000000004
139,Comoros,2015,140,3.9560000000000004
138,Congo (Brazzaville),2015,139,3.989
113,Congo (Brazzaville),2018,114,4.559
