Country,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019
Afghanistan,61.2,61.2,63.4,63.7,64.1
Albania,78.0,78.1,78.2,78.3,78.5
Algeria,77.1,77.4,77.7,77.9,78.1
Angola,63.3,63.8,64.2,64.6,65.0
Antigua and Barbuda,76.9,77.0,77.0,77.2,77.3
Argentina,76.5,76.5,76.7,76.8,77.0
Armenia,75.3,75.4,75.6,75.8,75.9
Australia,82.5,82.5,82.4,82.5,82.7
Austria,81.5,81.7,81.8,81.9,82.0
Azerbaijan,70.5,70.6,70.8,70.9,71.1
Bahamas,73.3,73.6,73.7,73.9,74.1
Bahrain,79.3,79.4,79.5,79.6,79.8
Bangladesh,72.5,72.9,73.1,73.4,73.7
Barbados,77.1,77.1,77.1,77.2,77.3
Belarus,73.8,74.0,74.0,74.3,74.5
Belgium,80.9,81.2,81.4,81.5,81.7
Belize,74.0,74.1,74.2,74.3,74.4
Benin,63.5,64.1,64.6,64.9,65.3
Bhutan,73.5,73.8,74.0,74.4,74.7
Bolivia,72.2,72.5,72.8,73.1,73.3
Bosnia and Herzegovina,76.4,76.5,76.7,76.9,77.0
Botswana,66.9,68.1,69.1,69.5,69.8
Brazil,75.5,75.4,75.5,75.7,75.9
Brunei,75.1,75.2,75.3,75.5,75.6
Bulgaria,74.8,74.9,74.9,75.0,75.1
Burkina Faso,60.7,61.2,61.7,62.1,62.5
Burundi,60.8,61.2,61.5,61.9,62.3
Cambodia,69.3,69.6,69.9,70.2,70.4
Cameroon,61.2,62.1,63.0,63.4,63.8
Canada,81.7,81.9,82.0,82.1,82.2
Cape Verde,75.3,75.5,75.8,76.0,76.2
Central African Republic,50.9,51.7,51.9,52.4,52.9
Chad,59.2,59.7,60.0,60.3,60.6
Chile,79.6,79.7,79.7,79.8,80.0
China,76.5,76.7,77.1,77.3,77.5
Colombia,80.0,80.0,80.1,80.3,80.5
Comoros,68.0,68.3,68.6,68.8,69.1
"Congo, Dem. Rep.",61.3,61.9,62.4,62.7,63.0
"Congo, Rep.",62.2,62.5,62.6,63.0,63.3
Costa Rica,79.9,79.5,79.5,79.7,79.8
Cote d'Ivoire,61.0,61.7,62.5,62.9,63.3
Croatia,77.6,78.3,78.5,78.7,78.8
Cuba,78.2,78.3,78.4,78.5,78.5
Cyprus,81.5,81.7,81.7,81.9,82.0
Czech Republic,78.8,79.0,79.2,79.3,79.5
Denmark,80.9,80.8,80.8,80.9,81.0
Djibouti,66.3,66.9,67.3,68.1,68.6
Dominican Republic,72.8,72.8,73.1,73.3,73.5
Ecuador,76.6,76.5,76.7,77.0,77.2
Egypt,70.2,70.5,70.6,70.8,71.0
El Salvador,72.1,73.8,74.0,74.2,74.5
Equatorial Guinea,64.7,65.0,65.5,65.9,66.3
Eritrea,61.6,62.1,62.7,63.1,63.4
Estonia,77.7,77.9,78.1,78.3,78.5
Ethiopia,67.2,67.8,68.4,68.8,69.1
Fiji,67.8,67.8,68.1,68.2,68.3
Finland,81.6,81.5,81.4,81.6,81.8
France,82.5,82.8,82.8,83.0,83.1
Gabon,67.0,67.7,68.4,68.8,69.0
Gambia,65.1,65.4,65.8,66.1,66.4
Georgia,73.0,72.8,72.8,73.0,73.2
Germany,80.7,80.5,80.6,80.8,80.9
Ghana,64.4,64.8,65.5,65.8,66.1
Greece,80.8,80.9,81.0,81.2,81.3
Grenada,73.9,74.0,74.1,74.1,74.1
Guatemala,72.9,72.6,72.6,72.9,73.1
Guinea,59.2,60.1,60.7,61.2,61.6
Guinea-Bissau,58.7,59.3,60.0,60.3,60.7
Guyana,68.6,68.9,69.2,69.4,69.5
Haiti,64.0,64.3,65.0,65.3,65.7
Honduras,72.1,73.8,74.0,74.2,74.3
Hungary,75.5,76.4,76.8,77.0,77.2
Iceland,82.7,82.7,82.8,82.9,83.0
India,68.4,68.6,69.0,69.2,69.5
Indonesia,71.0,71.2,71.5,71.7,71.9
Iran,76.5,77.0,77.3,77.6,77.8
Iraq,76.3,76.7,76.7,76.9,77.1
Ireland,81.6,81.8,81.8,82.1,82.3
Israel,82.6,82.9,83.0,83.1,83.3
Italy,82.6,83.0,83.2,83.3,83.5
Jamaica,74.6,74.5,74.7,74.8,74.9
Japan,84.1,84.2,84.2,84.4,84.5
Jordan,79.1,79.2,79.3,79.5,79.6
