Country,Population15,Population16,Population17,Population18,Population19
Afghanistan,34400000,35400000,36300000,37200000,38000000
Albania,2890000,2890000,2880000,2880000,2880000
Algeria,39700000,40600000,41400000,42200000,43100000
Andorra,78000,77300,77000,77000,77100
Angola,27900000,28800000,29800000,30800000,31800000
Antigua and Barbuda,93600,94500,95400,96300,97100
Argentina,43100000,43500000,43900000,44400000,44800000
Armenia,2930000,2940000,2940000,2950000,2960000
Australia,23900000,24300000,24600000,24900000,25200000
Austria,8680000,8750000,8820000,8890000,8960000
Azerbaijan,9620000,9740000,9850000,9950000,10000000
Bahamas,374000,378000,382000,386000,389000
Bahrain,1370000,1430000,1490000,1570000,1640000
Bangladesh,156000000,158000000,160000000,161000000,163000000
Barbados,285000,286000,286000,287000,287000
Belarus,9440000,9450000,9450000,9450000,9450000
Belgium,11300000,11400000,11400000,11500000,11500000
Belize,361000,368000,376000,383000,390000
Benin,10600000,10900000,11200000,11500000,11800000
Bhutan,728000,737000,746000,754000,763000
Bolivia,10900000,11000000,11200000,11400000,11500000
Bosnia and Herzegovina,3430000,3390000,3350000,3320000,3300000
Botswana,2120000,2160000,2210000,2250000,2300000
Brazil,204000000,206000000,208000000,209000000,211000000
Brunei,415000,420000,424000,429000,433000
Bulgaria,7200000,7150000,7100000,7050000,7000000
Burkina Faso,18100000,18600000,19200000,19800000,20300000
Burundi,10200000,10500000,10800000,11200000,11500000
Cambodia,15500000,15800000,16000000,16200000,16500000
Cameroon,23300000,23900000,24600000,25200000,25900000
Canada,36000000,36400000,36700000,37100000,37400000
Cape Verde,525000,531000,537000,544000,550000
Central African Republic,4490000,4540000,4600000,4670000,4750000
Chad,14100000,14600000,15000000,15500000,15900000
Chile,18000000,18200000,18500000,18700000,19000000
China,1410000000,1410000000,1420000000,1430000000,1430000000
Colombia,47500000,48200000,48900000,49700000,50300000
Comoros,777000,796000,814000,832000,851000
"Congo, Dem. Rep.",76200000,78800000,81400000,84100000,86800000
"Congo, Rep.",4860000,4980000,5110000,5240000,5380000
Costa Rica,4850000,4900000,4950000,5000000,5050000
Cote d'Ivoire,23200000,23800000,24400000,25100000,25700000
Croatia,4230000,4210000,4180000,4160000,4130000
Cuba,11300000,11300000,11300000,11300000,11300000
Cyprus,1160000,1170000,1180000,1190000,1200000
Czech Republic,10600000,10600000,10600000,10700000,10700000
Denmark,5690000,5710000,5730000,5750000,5770000
Djibouti,914000,929000,944000,959000,974000
Dominica,71200,71300,71500,71600,71800
Dominican Republic,10300000,10400000,10500000,10600000,10700000
Ecuador,16200000,16500000,16800000,17100000,17400000
Egypt,92400000,94400000,96400000,98400000,100000000
El Salvador,6330000,6360000,6390000,6420000,6450000
Equatorial Guinea,1170000,1220000,1260000,1310000,1360000
Eritrea,3340000,3380000,3410000,3450000,3500000
Estonia,1320000,1320000,1320000,1320000,1330000
Ethiopia,101000000,104000000,106000000,109000000,112000000
Fiji,869000,872000,877000,883000,890000
Finland,5480000,5500000,5510000,5520000,5530000
France,64500000,64700000,64800000,65000000,65100000
Gabon,1950000,2010000,2060000,2120000,2170000
Gambia,2090000,2150000,2210000,2280000,2350000
Georgia,4020000,4020000,4010000,4000000,4000000
Germany,81800000,82200000,82700000,83100000,83500000
Ghana,27800000,28500000,29100000,29800000,30400000
Greece,10700000,10600000,10600000,10500000,10500000
Grenada,110000,110000,111000,111000,112000
Guatemala,16300000,16600000,16900000,17200000,17600000
Guinea,11400000,11700000,12100000,12400000,12800000
Guinea-Bissau,1740000,1780000,1830000,1870000,1920000
Guyana,767000,771000,775000,779000,783000
Haiti,10700000,10800000,11000000,11100000,11300000
Holy See,790,791,798,810,815
Honduras,9110000,9270000,9430000,9590000,9750000
Hungary,9780000,9750000,9730000,9710000,9680000
Iceland,330000,332000,334000,337000,339000
India,1310000000,1320000000,1340000000,1350000000,1370000000
Indonesia,258000000,262000000,265000000,268000000,271000000
Iran,78500000,79600000,80700000,81800000,82900000
Iraq,35600000,36600000,37600000,38400000,39300000
Ireland,4650000,4700000,4750000,4820000,4880000
Israel,7980000,8110000,8240000,8380000,8520000
Italy,60600000,60700000,60700000,60600000,60600000
Jamaica,2890000,2910000,2920000,2930000,2950000
Japan,128000000,128000000,128000000,127000000,127000000
Jordan,9270000,9550000,9790000,9970000,10100000
Kazakhstan,17600000,17800000,18100000,18300000,18600000
Kenya,47900000,49100000,50200000,51400000,52600000
Kiribati,111000,113000,114000,116000,118000
Kuwait,3840000,3960000,4060000,4140000,4210000
Kyrgyz Republic,5960000,6070000,6190000,6300000,6420000
Lao,6740000,6850000,6950000,7060000,7170000
Latvia,2000000,1970000,1950000,1930000,1910000
Lebanon,6530000,6710000,6820000,6860000,6860000
Lesotho,2060000,2080000,2090000,2110000,2130000
Liberia,4470000,4590000,4700000,4820000,4940000
Libya,6420000,6490000,6580000,6680000,6780000
Liechtenstein,37500,37700,37800,37900,38000
